age,life_expectancy
0,61.7
1,63.6
2,63.0
3,62.4
4,61.7
5,61.0
6,60.2
7,59.3
8,58.5
9,57.6
10,56.8
11,55.9
12,54.9
13,54.0
14,53.1
15,52.2
16,51.3
17,50.4
18,49.5
19,48.6
20,47.8
21,46.9
22,46.0
23,45.2
24,44.3
25,43.5
26,42.6
27,41.8
28,40.9
29,40.1
30,39.2
31,38.4
32,37.5
33,36.7
34,35.8
35,35.0
36,34.2
37,33.3
38,32.5
39,31.7
40,30.8
41,30.0
42,29.2
43,28.4
44,27.6
45,26.8
46,26.0
47,25.2
48,24.4
49,23.7
50,22.9
51,22.1
52,21.4
53,20.6
54,19.9
55,19.2
56,18.5
57,17.8
58,17.1
59,16.4
60,15.7
61,15.0
62,14.4
63,13.8
64,13.2
65,12.6
66,12.0
67,11.4
68,10.9
69,10.3
70,9.8
71,9.3
72,8.8
73,8.4
74,7.9
75,7.5
76,7.1
77,6.7
78,6.3
79,5.9
80,5.6
81,5.3
82,4.9
83,4.6
84,4.4
85,4.1
86,3.9
87,3.7
88,3.5
89,3.3
90,3.2
91,3.0
92,2.9
93,2.8
94,2.7
95,2.5
96,2.4
97,2.4
98,2.3
99,2.2
100,2.1
